,Month,Year,Type,Area,Sex,Fatal (Y/N)
0,July,2023,Unprovoked,Florida,F,N
1,March,2022,Provoked,Florida,M,N
2,January,2021,Unprovoked,Hawaii,M,N
3,January,2021,Unprovoked,Florida,M,N
4,August,2019,Unprovoked,Florida,M,N
5,March,2019,Unprovoked,Florida,M,N
6,July,2018,Unprovoked,New York,F,N
7,July,2018,Unprovoked,South Carolina,F,N
8,October,2017,Unprovoked,Hawaii,M,N
9,September,2016,Unprovoked,California,M,N
10,May,2016,Unprovoked,Florida,F,N
11,July,2013,Unprovoked,Alabama,F,N
12,June,2013,Provoked,Florida,M,N
13,June,2011,Unprovoked,Florida,M,N
14,May,2011,Unprovoked,Texas,F,N
15,October,2010,Unprovoked,Oregon,M,N
16,May,2010,Provoked,Florida,M,N
17,November,2009,Unprovoked,Florida,M,N
18,September,2008,Unprovoked,Florida,M,N
19,September,2007,Unprovoked,Florida,F,N
20,August,2007,Provoked,North Carolina,M,N
21,September,2006,Unprovoked,Florida,M,N
22,September,2006,Unprovoked,Florida,M,N
23,June,2006,Unprovoked,Florida,F,N
24,October,2005,Unprovoked,California,F,N
25,April,2005,Unprovoked,Texas,M,N
26,June,2004,Unprovoked,Florida,F,N
27,October,2003,Unprovoked,Florida,M,N
28,May,2003,Provoked,Florida,M,N
29,November,2002,Unprovoked,California,M,N
30,September,2002,Unprovoked,California,M,N
31,April,2002,Unprovoked,Florida,M,N
32,November,2000,Unprovoked,Florida,M,N
33,August,2000,Unprovoked,Florida,F,N
34,September,1999,Unprovoked,South Carolina,F,N
35,November,1998,Unprovoked,Florida,M,N
36,July,1998,Unprovoked,Florida,M,N
37,October,1997,Unprovoked,Florida,M,N
38,August,1997,Unprovoked,Florida,M,N
39,June,1997,Unprovoked,Hawaii,M,N
40,August,1996,Unprovoked,Hawaii,M,N
41,July,1996,Unprovoked,Massachusetts,M,N
42,July,1996,Unprovoked,Florida,F,N
43,June,1995,Unprovoked,California,M,N
44,June,1995,Unprovoked,Hawaii,M,N
45,August,1993,Unprovoked,California,M,N
46,March,1992,Unprovoked,Oregon,M,N
47,February,1990,Unprovoked,Hawaii,M,Y
48,June,1988,Unprovoked,Florida,M,N
49,November,1984,Unprovoked,Florida,M,N
50,January,1983,Provoked,North & South Carolina,M,N
51,July,1982,Unprovoked,Florida,M,N
52,August,1980,Unprovoked,Louisiana,M,N
53,December,1977,Unprovoked,Florida,M,N
54,June,1976,Unprovoked,Florida,M,N
55,June,1975,Unprovoked,South Carolina,F,N
56,March,1975,Unprovoked,Florida,M,N
57,September,1970,Unprovoked,South Carolina,M,N
