Datetime,Storm_Status,Latitude,Longitude,Max_Wind,Min_Pressure,Radius_Max_Wind
18520826, HU, 30.2N,  88.6W,100.0,961.0,10.0
18540908, HU, 31.7N,  81.1W,100.0,950.0,40.0
18560810, HU, 29.2N,  91.1W,130.0,934.0,10.0
18580916, HU, 41.4N,  72.0W,70.0,979.0,45.0
18671029, HU, 18.4N,  64.8W,100.0,952.0,5.0
18690908, HU, 41.0N,  71.9W,100.0,963.0,30.0
18690908, HU, 41.4N,  71.7W,100.0,965.0,30.0
18731007, HU, 26.5N,  82.2W,100.0,959.0,25.0
18790818, HU, 34.5N,  76.8W,100.0,971.0,15.0
18800813, HU, 25.8N,  97.0W,130.0,931.0,10.0
18810828, HU, 31.7N,  81.1W,90.0,970.0,15.0
18860820, HU, 28.1N,  96.8W,130.0,925.0,15.0
18870921, HU, 26.1N,  97.2W,75.0,973.0,40.0
18881011, HU, 29.2N,  83.1W,95.0,970.0,10.0
18930824, HU, 40.7N,  73.9W,75.0,986.0,30.0
18930828, HU, 31.7N,  81.1W,100.0,954.0,25.0
18931013, HU, 33.0N,  79.5W,105.0,955.0,15.0
18931002, HU, 29.3N,  89.8W,115.0,948.0,10.0
18960929, HU, 29.2N,  83.1W,110.0,960.0,15.0
18981002, HU, 30.9N,  81.4W,115.0,938.0,20.0
19000909, HU, 29.1N,  95.1W,120.0,936.0,15.0
19060617, HU, 25.2N,  80.7W,75.0,979.0,25.0
19060917, HU, 33.3N,  79.2W,80.0,977.0,30.0
19061018, HU, 25.3N,  80.7W,105.0,953.0,10.0
19090921, HU, 29.5N,  91.3W,100.0,952.0,30.0
19091011, HU, 24.7N,  81.0W,100.0,957.0,20.0
19101018, HU, 26.5N,  82.0W,95.0,955.0,30.0
19110828, HU, 32.2N,  80.7W,85.0,972.0,25.0
19130903, HU, 34.7N,  76.6W,75.0,976.0,40.0
19150801, HU, 28.7N,  80.8W,65.0,990.0,15.0
19150817, HU, 29.2N,  95.1W,115.0,940.0,25.0
19150929, HU, 29.0N,  90.3W,110.0,944.0,20.0
19160705, HU, 30.4N,  88.4W,105.0,950.0,20.0
19160714, HU, 32.9N,  79.5W,95.0,960.0,20.0
19160818, HU, 27.0N,  97.4W,115.0,932.0,25.0
19161018, HU, 30.4N,  87.4W,95.0,970.0,20.0
19170929, HU, 30.4N,  86.6W,100.0,949.0,40.0
19180806, HU, 29.8N,  93.2W,105.0,955.0,10.0
19190910, HU, 24.6N,  82.9W,130.0,927.0,15.0
19190914, HU, 27.2N,  97.3W,100.0,950.0,35.0
19200922, HU, 29.1N,  90.8W,85.0,975.0,30.0
19210622, HU, 28.5N,  95.9W,80.0,980.0,15.0
19211025, HU, 28.1N,  82.8W,100.0,958.0,20.0
19231016, HU, 29.2N,  91.0W,70.0,983.0,45.0
19240826, HU, 36.3N,  74.3W,90.0,963.0,35.0
19240826, HU, 40.9N,  70.3W,80.0,968.0,40.0
19241021, HU, 25.8N,  81.8W,80.0,975.0,20.0
19260728, HU, 29.0N,  80.8W,90.0,967.0,15.0
19260825, HU, 29.2N,  90.9W,100.0,955.0,20.0
19260918, HU, 25.6N,  80.3W,125.0,930.0,20.0
19260920, HU, 30.3N,  87.5W,100.0,955.0,15.0
19261021, HU, 24.5N,  81.0W,110.0,949.0,20.0
19280808, HU, 27.3N,  80.2W,85.0,977.0,10.0
19280913, HU, 18.0N,  65.9W,140.0,931.0,25.0
19280917, HU, 26.7N,  80.0W,125.0,929.0,30.0
19280918, HU, 32.5N,  80.3W,75.0,977.0,35.0
19290628, HU, 28.3N,  96.4W,80.0,982.0,10.0
19290928, HU, 25.0N,  80.5W,100.0,948.0,30.0
19320814, HU, 29.0N,  95.2W,130.0,935.0,10.0
19330730, HU, 27.1N,  80.1W,65.0,988.0,25.0
19330823, HU, 35.8N,  75.6W,80.0,963.0,40.0
19330905, HU, 26.1N,  97.2W,110.0,940.0,20.0
19330904, HU, 26.9N,  80.1W,110.0,948.0,15.0
19330916, HU, 35.2N,  75.4W,90.0,952.0,40.0
19340616, HU, 29.7N,  91.7W,85.0,966.0,30.0
19340725, HU, 28.1N,  96.8W,75.0,979.0,25.0
19350903, HU, 24.8N,  80.8W,160.0,892.0,5.0
19350904, HU, 29.6N,  83.4W,85.0,965.0,20.0
19351104, HU, 25.9N,  80.1W,85.0,973.0,10.0
19360627, HU, 27.9N,  97.0W,70.0,987.0,5.0
19360731, HU, 30.4N,  86.6W,90.0,964.0,20.0
19360918, HU, 35.9N,  74.8W,85.0,965.0,35.0
19380921, HU, 40.7N,  72.9W,105.0,941.0,40.0
19380921, HU, 41.3N,  72.9W,100.0,946.0,40.0
19400807, HU, 29.7N,  94.1W,85.0,972.0,10.0
19400811, HU, 32.1N,  80.8W,85.0,972.0,25.0
19411007, HU, 29.9N,  84.6W,80.0,982.0,20.0
19420830, HU, 28.3N,  96.6W,100.0,950.0,20.0
19430727, HU, 29.5N,  94.6W,90.0,967.0,15.0
19440801, HU, 33.9N,  78.1W,70.0,985.0,10.0
19440914, HU, 34.5N,  75.4W,105.0,940.0,15.0
19440915, HU, 40.9N,  72.2W,90.0,954.0,30.0
19440915, HU, 41.4N,  71.6W,85.0,957.0,30.0
19441018, HU, 24.6N,  82.9W,105.0,949.0,30.0
19441019, HU, 27.2N,  82.5W,90.0,962.0,35.0
19450827, HU, 28.2N,  96.7W,100.0,963.0,10.0
19450915, HU, 25.3N,  80.3W,115.0,949.0,10.0
19450915, HU, 25.4N,  80.4W,115.0,949.0,10.0
19461008, HU, 27.5N,  82.6W,75.0,980.0,35.0
19470917, HU, 26.1N,  80.1W,115.0,943.0,15.0
19470919, HU, 29.6N,  89.5W,95.0,966.0,25.0
19480921, HU, 24.6N,  81.6W,105.0,955.0,10.0
19480922, HU, 25.8N,  81.3W,115.0,940.0,10.0
19490824, HU, 34.3N,  76.1W,90.0,977.0,25.0
19490826, HU, 26.6N,  80.0W,115.0,954.0,20.0
19491004, HU, 28.8N,  95.6W,95.0,965.0,15.0
19500831, HU, 30.2N,  88.0W,75.0,979.0,20.0
19500905, HU, 29.1N,  82.8W,105.0,960.0,15.0
19501018, HU, 25.7N,  80.2W,115.0,955.0,5.0
19540831, HU, 34.2N,  76.1W,95.0,960.0,25.0
19540831, HU, 40.9N,  72.2W,100.0,955.0,20.0
19540831, HU, 41.3N,  72.0W,100.0,957.0,20.0
19540911, HU, 41.4N,  70.5W,95.0,950.0,25.0
19540911, HU, 41.7N,  70.3W,95.0,952.0,25.0
19540911, HU, 41.9N,  70.1W,90.0,954.0,25.0
19541015, HU, 33.9N,  78.6W,115.0,938.0,20.0
19550812, HU, 34.7N,  76.7W,85.0,962.0,30.0
19550919, HU, 34.7N,  76.7W,90.0,955.0,25.0
19560924, HU, 29.1N,  89.4W,75.0,980.0,20.0
19560925, HU, 30.4N,  86.4W,80.0,974.0,20.0
19570627, HU, 29.8N,  93.7W,110.0,946.0,15.0
19590709, HU, 33.0N,  79.6W,65.0,995.0,20.0
19590725, HU, 29.1N,  95.2W,75.0,980.0,20.0
19590929, HU, 32.5N,  80.4W,115.0,951.0,10.0
19600910, HU, 24.8N,  80.9W,125.0,930.0,20.0
19600910, HU, 25.9N,  81.6W,105.0,942.0,20.0
19600912, HU, 34.6N,  77.3W,90.0,958.0,50.0
19600912, HU, 40.7N,  72.9W,85.0,959.0,50.0
19600912, HU, 41.3N,  72.4W,80.0,962.0,50.0
19600915, HU, 30.4N,  89.0W,70.0,980.0,20.0
19610911, HU, 28.3N,  96.4W,125.0,931.0,20.0
19640827, HU, 25.8N,  80.1W,95.0,968.0,10.0
19640910, HU, 29.9N,  81.3W,95.0,966.0,5.0
19641003, HU, 29.5N,  91.5W,90.0,959.0,35.0
19641014, HU, 25.8N,  81.4W,90.0,970.0,20.0
