,Month,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N)
0,July,2023,Unprovoked,USA,Florida,Swimming,F,26.0,N
5,March,2022,Provoked,USA,Florida,Fishing,M,21.0,N
7,January,2021,Unprovoked,USA,Hawaii,Snorkeling,M,73.0,N
8,January,2021,Unprovoked,USA,Florida,Surfing,M,17.0,N
15,August,2019,Unprovoked,USA,Florida,Standing,M,51.0,N
17,March,2019,Unprovoked,USA,Florida,Boogie boarding,M,11.0,N
19,July,2018,Unprovoked,USA,New York,Wading,F,12.0,N
20,July,2018,Unprovoked,USA,South Carolina,Boogie boarding,F,11.0,N
26,October,2017,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,22.0,N
31,September,2016,Unprovoked,USA,California,Surfing,M,43.0,N
32,May,2016,Unprovoked,USA,Florida,Swimming,F,57.0,N
42,July,2013,Unprovoked,USA,Alabama,Walking in surf,F,50.0,N
43,June,2013,Provoked,USA,Florida,Fishing for sharks,M,58.0,N
47,June,2011,Unprovoked,USA,Florida,Wading,M,19.0,N
48,May,2011,Unprovoked,USA,Texas,Standing or boogie boardin,F,22.0,N
51,October,2010,Unprovoked,USA,Oregon,Surfing,M,22.0,N
54,May,2010,Provoked,USA,Florida,Fishing,M,49.0,N
57,November,2009,Unprovoked,USA,Florida,Surfing,M,18.0,N
59,September,2008,Unprovoked,USA,Florida,Surfing,M,22.0,N
60,September,2007,Unprovoked,USA,Florida,Surfing,F,15.0,N
61,August,2007,Provoked,USA,North Carolina,Diving,M,22.0,N
65,September,2006,Unprovoked,USA,Florida,Surfing,M,19.0,N
66,September,2006,Unprovoked,USA,Florida,Swimming,M,55.0,N
69,June,2006,Unprovoked,USA,Florida,Body boarding,F,9.0,N
72,October,2005,Unprovoked,USA,California,Surfing,F,20.0,N
74,April,2005,Unprovoked,USA,Texas,Surfing,M,37.0,N
76,June,2004,Unprovoked,USA,Florida,In water with diving seabirds,F,22.0,N
79,October,2003,Unprovoked,USA,Florida,Surfing,M,19.0,N
80,May,2003,Provoked,USA,Florida,Surfing,M,34.0,N
81,November,2002,Unprovoked,USA,California,Body boarding,M,48.0,N
83,September,2002,Unprovoked,USA,California,Surfing,M,35.0,N
84,April,2002,Unprovoked,USA,Florida,Swimming / Wading,M,29.0,N
88,November,2000,Unprovoked,USA,Florida,Swimming,M,73.0,N
89,August,2000,Unprovoked,USA,Florida,Standing,F,44.0,N
91,September,1999,Unprovoked,USA,South Carolina,Wading,F,10.0,N
94,November,1998,Unprovoked,USA,Florida,Surfing,M,14.0,N
95,July,1998,Unprovoked,USA,Florida,Surfing,M,13.0,N
97,October,1997,Unprovoked,USA,Florida,Surfing,M,12.0,N
98,August,1997,Unprovoked,USA,Florida,Boogie boarding,M,17.0,N
99,June,1997,Unprovoked,USA,Hawaii,Spearfishing / night diving,M,22.0,N
101,August,1996,Unprovoked,USA,Hawaii,Body Boarding,M,19.0,N
102,July,1996,Unprovoked,USA,Massachusetts,Swimming,M,46.0,N
103,July,1996,Unprovoked,USA,Florida,Standing,F,63.0,N
107,June,1995,Unprovoked,USA,California,Scuba diving (ascending using scooter),M,31.0,N
108,June,1995,Unprovoked,USA,Hawaii,Swimming,M,38.0,N
112,August,1993,Unprovoked,USA,California,Free diving for abalone (ascending),M,39.0,N
117,March,1992,Unprovoked,USA,Oregon,Surfing (sitting on his board),M,21.0,N
119,February,1990,Unprovoked,USA,Hawaii,Scuba diving & spearfishing,M,22.0,Y
122,June,1988,Unprovoked,USA,Florida,Surfing,M,25.0,N
126,November,1984,Unprovoked,USA,Florida,Surfing,M,13.0,N
129,January,1983,Provoked,USA,North & South Carolina,Fishing,M,22.0,N
131,July,1982,Unprovoked,USA,Florida,Swimming,M,17.0,N
134,August,1980,Unprovoked,USA,Louisiana,Wading,M,22.0,N
137,December,1977,Unprovoked,USA,Florida,Surfing,M,27.0,N
138,June,1976,Unprovoked,USA,Florida,Skindiving,M,17.0,N
139,June,1975,Unprovoked,USA,South Carolina,Standing,F,15.0,N
140,March,1975,Unprovoked,USA,Florida,Floating in inner tube,M,14.0,N
144,September,1970,Unprovoked,USA,South Carolina,Swimming,M,22.0,N
170,August,1960,Provoked,USA,Florida,Holding shark on leader & dangling it above the water,M,15.0,N
179,December,1952,Unprovoked,USA,California,Body surfing & treading water,M,17.0,Y
