Date,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N)
2021-10-04,2021,Unprovoked,USA,Florida,Surfing,M,25.0,N
2021-10-03,2021,Unprovoked,USA,Florida,Swimming,M,None,N
2021-05-23,2021,Unprovoked,USA,South Carolina,Swimming,M,26.0,N
2021-05-03,2021,Unprovoked,USA,Hawaii,Surfing,M,14.0,N
2021-03-25,2021,Unprovoked,USA,Florida,None,F,16.0,N
2020-10-31,2020,Unprovoked,USA,Florida,Swimming,M,17.0,N
2020-08-02,2020,Unprovoked,USA,Virgin Islands,Snorkeling,F,None,N
2019-08-03,2019,Unprovoked,USA,Florida,Surfing,F,21.0,N
2019-08-03,2019,Unprovoked,USA,Florida,Spearfishing / Diving,M,37.0,N
2018-10-23,2018,Unprovoked,USA,Florida,Surfing,F,None,N
2018-06-25,2018,Watercraft,USA,California,Paddling,F,57.0,N
2017-09-24,2017,Invalid,USA,New York,Surfing,M,33.0,UNKNOWN
2017-06-10,2017,Unprovoked,USA,Florida,Surfing,M,19.0,N
2016-07-15,2016,Unprovoked,USA,South Carolina,Swimming,M,None,N
2015-11-07,2015,Invalid,USA,Florida,Surfing,F,9.0,UNKNOWN
2015-10-09,2015,Unprovoked,USA,Hawaii,Surfing,M,25.0,N
2015-06-17,2015,Unprovoked,USA,Florida,Swimming,M,10,N
2014-10-14,2014,Unprovoked,USA,South Carolina,Standing in inner tube,F,7,N
2014-10-02,2014,Unprovoked,USA,California,Surfing,M,28,N
2013-11-22,2013,Unprovoked,USA,Oregon,Surfing,M,25,N
2013-10-06,2013,Unprovoked,USA,California,Surfing,M,45,N
2013-06-18,2013,Unprovoked,USA,Hawaii,Swimming,M,28,N
2012-11-19,2012,Unprovoked,USA,Florida,Surfing,M,14,N
2012-09-02,2012,Unprovoked,USA,Florida,Boogie boarding,F,8,N
2012-06-15,2012,Provoked,USA,Florida,Fishing,M,23,N
2012-06-02,2012,Unprovoked,USA,Florida,Surfing,F,12,N
2012-02-26,2012,Provoked,USA,Florida,Kite Surfing,M,None,N
2011-08-31,2011,Unprovoked,USA,Florida,Surfing,M,19,N
2010-02-03,2010,Unprovoked,USA,Florida,Kite Boarding,M,38,Y
2009-07-11,2009,Unprovoked,USA,California,Paddle-surfing,M,None,N
2009-04-25,2009,Unprovoked,USA,California,Surfing,M,None,N
2009-04-11,2009,Invalid,USA,Hawaii,Spearfishing,M,49,UNKNOWN
2008-03-07,2008,Unprovoked,USA,California,Surfing,M,27,N
2007-09-22,2007,Unprovoked,USA,Florida,Surfing,F,None,N
2007-08-25,2007,Unprovoked,USA,Florida,Surfing,M,27,N
2007-05-07,2007,Unprovoked,USA,Florida,Swimming,M,68,N
2002-10-03,2002,Unprovoked,USA,Florida,Surfing,M,18.0,N
2001-06-10,2001,Provoked,USA,California,Spearfishing,M,52.0,N
2000-09-12,2000,Unprovoked,USA,Florida,Surfing,F,26,N
2000-08-31,2000,Unprovoked,USA,Florida,Swimming,M,47,N
2000-08-13,2000,Unprovoked,USA,Florida,Surfing / Wading,M,27,N
2000-07-16,2000,Unprovoked,USA,North Carolina,Surfing,M,14.0,N
1999-10-30,1999,Unprovoked,USA,Florida,Body surfing,M,13,N
1998-10-10,1998,Unprovoked,USA,Florida,Surfing,M,None,N
1998-05-16,1998,Unprovoked,USA,Florida,Swimming,F,14,N
1996-09-02,1996,Unprovoked,USA,Florida,Standing,M,5,N
1995-10-28,1995,Unprovoked,USA,Florida,Boogie boarding,M,13,N
1995-08-13,1995,Invalid,USA,North Carolina,Swimming,M,15,UNKNOWN
1995-06-23,1995,Unprovoked,USA,Georgia,Playing / jumping,M,13,N
1995-01-01,1995,Invalid,USA,North Carolina,Scuba diving,M,None,UNKNOWN
1993-12-01,1993,Unprovoked,USA,Hawaii,Surfing,M,None,Y
1993-10-01,1993,Unprovoked,USA,Hawaii,Surfing,None,None,N
1993-03-22,1993,Unprovoked,USA,Florida,Floating on his back,M,25,N
1992-09-13,1992,Unprovoked,USA,Oregon,Surfing,M,20.0,N
1991-11-14,1991,Provoked,USA,Florida,Fishing,M,None,N
1991-10-05,1991,Unprovoked,USA,California,Surfing,M,32.0,N
1990-10-30,1990,Unprovoked,USA,Florida,Surfing,M,18.0,N
1990-10-15,1990,Unprovoked,USA,Hawaii,Surfing,M,43.0,N
1989-04-01,1989,Unprovoked,USA,Hawaii,Paddling on surfboard,M,None,N
1988-04-15,1988,Invalid,USA,Hawaii,Onboard 21' powerboat that capsized in rough seas,M,None,UNKNOWN
1986-10-03,1986,Unprovoked,USA,Florida,Swimming,F,6.0,N
1985-02-18,1985,Unprovoked,USA,California,Scuba Diving for lobster (at surface),M,29.0,N
1984-09-30,1984,Unprovoked,USA,Oregon,Surfing (sitting on his board),M,25.0,N
1984-01-01,1984,Provoked,USA,California,Steinhart Aquarium,M,None,N
1982-11-01,1982,Unprovoked,USA,South Carolina,In waist-deep water,M,None,N
1980-10-17,1980,Unprovoked,USA,California,Surfing,M,19.0,N
1978-11-23,1978,Unprovoked,USA,Florida,Surfing,M,17,N
1975-06-02,1975,Unprovoked,USA,Florida,Surfing,M,20,N
1974-09-02,1974,Unprovoked,USA,California,Scuba diving (but on surface),M,48.0,N
1973-01-09,1973,Unprovoked,USA,Hawaii,Surfing,M,None,N
1972-07-05,1972,Invalid,USA,California,Diving,None,None,UNKNOWN
1964-10-25,1964,Invalid,USA,Florida,Boat Miss Becky  sank 12 miles from shore,None,None,UNKNOWN
1962-06-11,1962,Unprovoked,USA,California,Escaping from Alacatraz,M,35,Y
1962-06-10,1962,Unprovoked,USA,South Carolina,Standing,M,13.0,N
1960-08-30,1960,Unprovoked,USA,New Jersey,Swimming 3 miles offshore,M,25.0,N
1956-07-28,1956,Provoked,USA,Puerto Rico,Floating in inner tube,M,13.0,Y
1953-09-20,1953,Unprovoked,USA,California,Scuba diving,M,None,N
1953-07-26,1953,Unprovoked,USA,Hawaii,Spearfishing,M,15.0,Y
1952-07-27,1952,Watercraft,USA,Florida,Fishing for trout,None,None,N
1952-07-27,1952,Provoked,USA,South Carolina,Fishing,M,43,N
1952-07-27,1952,Provoked,USA,South Carolina,Fishing,M,34,N
1947-08-04,1947,Unprovoked,USA,Florida,Swimming,M,20.0,Y
1945-08-06,1945,Unprovoked,USA,North Carolina,None,None,None,Y
1945-05-08,1945,Unprovoked,USA,North Carolina,Swimming,M,None,Y
1928-06-24,1928,Unprovoked,USA,Florida,Swimming,M,None,N
1926-07-08,1926,Unprovoked,USA,California,Swimming with dog near canning factory,M,15.0,N
1923-01-01,1922,Provoked,USA,New Jersey,Hoisting shark aboard fishing boat,M,None,N
1922-12-14,1922,Unprovoked,USA,Puerto Rico,Bathing,F,None,Y
1913-08-27,1913,Invalid,USA,New Jersey,None,F,None,UNKNOWN
1909-04-10,1909,Invalid,USA,Hawaii,Reported swept away by waves while gathering opihi,F,19.0,UNKNOWN
None,1899,Unprovoked,USA,Florida,Hunting crayfish,M,None,N
1889-07-21,1889,Unprovoked,USA,Florida,Swimming,M,None,Y
None,1886,Watercraft,USA,New Jersey,None,M,None,N
1881-10-16,1881,Invalid,USA,Florida,Bathing,M,18,UNKNOWN
1879-07-03,1879,Unprovoked,USA,California,Bathing,M,None,N
1863-09-13,1863,Unprovoked,USA,South Carolina,Bathing,M,None,N
1845-07-31,1845,Unprovoked,USA,Florida,Fell overboard,M,None,Y
None,None,Unprovoked,USA,Florida,Canoeing,M,None,Y
